Date,Open,High,Low,Close,Adj Close,Volume
2019-04-26,9.870000,9.970000,9.780000,9.880000,9.880000,467000
2019-04-29,9.880000,10.240000,9.860000,10.120000,10.120000,642900
2019-04-30,10.150000,10.330000,9.820000,10.060000,10.060000,455900
2019-05-01,10.100000,10.260000,9.680000,9.720000,9.720000,309700
2019-05-02,9.710000,9.970000,9.629000,9.650000,9.650000,500800
2019-05-03,9.750000,10.070000,9.620000,9.860000,9.860000,282300
2019-05-06,9.750000,9.760000,9.480000,9.660000,9.660000,1134300
2019-05-07,9.440000,10.150000,9.390000,10.140000,10.140000,657200
2019-05-08,10.100000,10.860000,9.830000,10.790000,10.790000,820900
2019-05-09,10.690000,10.690000,9.873000,10.070000,10.070000,597500
2019-05-10,10.070000,10.450000,9.950000,10.340000,10.340000,292700
2019-05-13,9.800000,9.880000,9.550000,9.730000,9.730000,376700
2019-05-14,9.750000,9.870000,9.550000,9.760000,9.760000,371200
2019-05-15,9.650000,10.130000,9.650000,9.810000,9.810000,207000
2019-05-16,9.860000,9.980000,9.760000,9.840000,9.840000,435600
2019-05-17,9.700000,9.825000,9.600000,9.750000,9.750000,339100
2019-05-20,9.750000,9.820000,9.250000,9.480000,9.480000,521500
2019-05-21,9.490000,9.610000,9.280000,9.400000,9.400000,186400
2019-05-22,9.380000,9.510000,9.100000,9.170000,9.170000,220400
2019-05-23,9.100000,9.100000,8.010000,8.160000,8.160000,699400
2019-05-24,8.200000,8.655000,8.180000,8.450000,8.450000,358900
2019-05-28,8.540000,8.540000,7.900000,8.220000,8.220000,475400
2019-05-29,8.190000,8.220000,7.820000,7.880000,7.880000,402000
2019-05-30,7.930000,8.110000,7.550000,7.740000,7.740000,367000
2019-05-31,7.590000,7.740000,7.270000,7.330000,7.330000,414600
2019-06-03,7.900000,8.580000,7.760000,7.950000,7.950000,895200
2019-06-04,7.920000,7.990000,7.450000,7.970000,7.970000,447900
2019-06-05,7.910000,8.200000,7.750000,7.930000,7.930000,304600
2019-06-06,7.830000,8.460000,7.830000,8.260000,8.260000,356700
2019-06-07,8.270000,8.830000,8.170000,8.670000,8.670000,365300
2019-06-10,8.800000,9.300000,8.800000,9.140000,9.140000,339000
2019-06-11,9.450000,10.140000,9.410000,9.960000,9.960000,708000
2019-06-12,9.830000,9.890000,9.400000,9.790000,9.790000,359100
2019-06-13,9.870000,9.877000,9.430000,9.700000,9.700000,140900
